Net Status Report
Filename     : C:\Users\DELL5630\Desktop\箱体控制器分块原理图\主控制\主控制.PcbDoc
Date         : 2023/8/4
Time         : 10:25:01
Time Elapsed : 00:00:00

Nets, Layer, Length
    +12V, Signal Layers Only, 0mils
    +15V, Signal Layers Only, 0mils
    +2.5VREF, Signal Layers Only, 0mils
    +24V, Signal Layers Only, 0mils
    +3.3V, Signal Layers Only, 0mils
    +5VDD, Signal Layers Only, 0mils
    +5VSS, Signal Layers Only, 0mils
    -12V, Signal Layers Only, 0mils
    -5VSS, Signal Layers Only, 0mils
    AC_17V, Signal Layers Only, 0mils
    AC_9V, Signal Layers Only, 0mils
    AC_CBF, Signal Layers Only, 0mils
    ADC1, Signal Layers Only, 0mils
    ADC2, Signal Layers Only, 0mils
    ADC3, Signal Layers Only, 0mils
    ADC_SENSE, Signal Layers Only, 0mils
    ADVREF, Signal Layers Only, 0mils
    AGND, Signal Layers Only, 0mils
    CGND, Signal Layers Only, 0mils
    CONNE, Signal Layers Only, 0mils
    CPU_RUN, Signal Layers Only, 0mils
    DGND, Signal Layers Only, 0mils
    DGND_c1, Signal Layers Only, 0mils
    EE_WP, Signal Layers Only, 0mils
    EGND, Signal Layers Only, 0mils
    ERROR_LED, Signal Layers Only, 0mils
    EXT_RXD2, Signal Layers Only, 0mils
    EXT_RXD3, Signal Layers Only, 0mils
    EXT_TXD2, Signal Layers Only, 0mils
    EXT_TXD3, Signal Layers Only, 0mils
    GS_ADC, Signal Layers Only, 0mils
    HUM_ADC1, Signal Layers Only, 0mils
    HUM_SENSE, Signal Layers Only, 0mils
    INPUT1, Signal Layers Only, 0mils
    INPUT2, Signal Layers Only, 0mils
    INPUT3, Signal Layers Only, 0mils
    INPUT4, Signal Layers Only, 0mils
    INPUT5, Signal Layers Only, 0mils
    IN_L, Signal Layers Only, 0mils
    IN_N, Signal Layers Only, 0mils
    LIGH_ADC1, Signal Layers Only, 0mils
    LIGH_ADC2, Signal Layers Only, 0mils
    LIGH_ADC3, Signal Layers Only, 0mils
    Net*1_12, Signal Layers Only, 0mils
    Net*1_13, Signal Layers Only, 0mils
    Net*1_14, Signal Layers Only, 0mils
    Net*1_6, Signal Layers Only, 0mils
    Net*1_66, Signal Layers Only, 0mils
    Net*1_72, Signal Layers Only, 0mils
    Net*1_76, Signal Layers Only, 0mils
    Net*1_8, Signal Layers Only, 0mils
    Net*1_9, Signal Layers Only, 0mils
    Net*1_94, Signal Layers Only, 0mils
    NetB1_2, Signal Layers Only, 0mils
    NetB1_3, Signal Layers Only, 0mils
    NetB2_3, Signal Layers Only, 0mils
    NetB3_1, Signal Layers Only, 0mils
    NetB3_2, Signal Layers Only, 0mils
    NetB3_3, Signal Layers Only, 0mils
    NetB3_4, Signal Layers Only, 0mils
    NetC17_2, Signal Layers Only, 0mils
    NetC28_1, Signal Layers Only, 0mils
    NetC31_1, Signal Layers Only, 0mils
    NetC36_b1_2, Signal Layers Only, 0mils
    NetC36_b2_2, Signal Layers Only, 0mils
    NetC36_b3_2, Signal Layers Only, 0mils
    NetC37_1, Signal Layers Only, 0mils
    NetC39_1, Signal Layers Only, 0mils
    NetC39_2, Signal Layers Only, 0mils
    NetC41_1, Signal Layers Only, 0mils
    NetC41_2, Signal Layers Only, 0mils
    NetC42_1, Signal Layers Only, 0mils
    NetC43_2, Signal Layers Only, 0mils
    NetC8_1, Signal Layers Only, 0mils
    NetD10_1, Signal Layers Only, 0mils
    NetD11_c1_2, Signal Layers Only, 0mils
    NetD11_c2_2, Signal Layers Only, 0mils
    NetD11_c3_2, Signal Layers Only, 0mils
    NetD12_1, Signal Layers Only, 0mils
    NetD4_1, Signal Layers Only, 0mils
    NetD5_2, Signal Layers Only, 0mils
    NetD6_1, Signal Layers Only, 0mils
    NetD8_1, Signal Layers Only, 0mils
    NetD9_1, Signal Layers Only, 0mils
    NetIC10_b1_3, Signal Layers Only, 0mils
    NetIC10_b1_6, Signal Layers Only, 0mils
    NetIC10_b2_3, Signal Layers Only, 0mils
    NetIC10_b2_6, Signal Layers Only, 0mils
    NetIC10_b3_3, Signal Layers Only, 0mils
    NetIC10_b3_6, Signal Layers Only, 0mils
    NetIC12_1, Signal Layers Only, 0mils
    NetIC12_4, Signal Layers Only, 0mils
    NetIC12_6, Signal Layers Only, 0mils
    NetIC7_3, Signal Layers Only, 0mils
    NetIC8_2, Signal Layers Only, 0mils
    NetIC8_3, Signal Layers Only, 0mils
    NetIC9_1, Signal Layers Only, 0mils
    NetIC9_6, Signal Layers Only, 0mils
    NetQ1_c1_1, Signal Layers Only, 0mils
    NetQ1_c2_1, Signal Layers Only, 0mils
    NetQ1_c3_1, Signal Layers Only, 0mils
    NetQ2_1, Signal Layers Only, 0mils
    PGND, Signal Layers Only, 0mils
    PT_A1, Signal Layers Only, 0mils
    PT_A2, Signal Layers Only, 0mils
    PT_A3, Signal Layers Only, 0mils
    PT_B1, Signal Layers Only, 0mils
    PT_B2, Signal Layers Only, 0mils
    PT_B3, Signal Layers Only, 0mils
    RELAYA1, Signal Layers Only, 0mils
    RELAYA2, Signal Layers Only, 0mils
    RELAYA3, Signal Layers Only, 0mils
    RELAYA4, Signal Layers Only, 0mils
    RELAYB1, Signal Layers Only, 0mils
    RELAYB2, Signal Layers Only, 0mils
    RELAYB3, Signal Layers Only, 0mils
    RELAYB4, Signal Layers Only, 0mils
    RELAYC1, Signal Layers Only, 0mils
    RELAYC2, Signal Layers Only, 0mils
    RELAYC3, Signal Layers Only, 0mils
    RELAYC4, Signal Layers Only, 0mils
    RELAY_OUT1, Signal Layers Only, 0mils
    RELAY_OUT2, Signal Layers Only, 0mils
    RELAY_OUT3, Signal Layers Only, 0mils
    RELAY_OUT4, Signal Layers Only, 0mils
    RELAY_OUT5, Signal Layers Only, 0mils
    RELAY_OUT6, Signal Layers Only, 0mils
    RS485_A, Signal Layers Only, 0mils
    RS485_B, Signal Layers Only, 0mils
    RS485_DE/R\E\, Signal Layers Only, 0mils
    RXD1, Signal Layers Only, 0mils
    RXD2, Signal Layers Only, 0mils
    RXD3, Signal Layers Only, 0mils
    SCLK, Signal Layers Only, 0mils
    SDA, Signal Layers Only, 0mils
    SI_A1, Signal Layers Only, 0mils
    SI_A2, Signal Layers Only, 0mils
    SI_A3, Signal Layers Only, 0mils
    SI_A4, Signal Layers Only, 0mils
    SI_A5, Signal Layers Only, 0mils
    SI_B1, Signal Layers Only, 0mils
    SI_B2, Signal Layers Only, 0mils
    SI_B3, Signal Layers Only, 0mils
    SI_B4, Signal Layers Only, 0mils
    SI_B5, Signal Layers Only, 0mils
    SSR+1, Signal Layers Only, 0mils
    SSR-1, Signal Layers Only, 0mils
    SSR-2, Signal Layers Only, 0mils
    SSR-3, Signal Layers Only, 0mils
    SSR1, Signal Layers Only, 0mils
    SSR2, Signal Layers Only, 0mils
    SSR3, Signal Layers Only, 0mils
    TXD1, Signal Layers Only, 0mils
    TXD2, Signal Layers Only, 0mils
    TXD3, Signal Layers Only, 0mils
    UV_ADC1, Signal Layers Only, 0mils
    UV_ADC2, Signal Layers Only, 0mils
    UV_ADC3, Signal Layers Only, 0mils
    VDD3.3, Signal Layers Only, 0mils
    VDDA, Signal Layers Only, 0mils
count : 160
